kl_host,kl_first_seen,kl_popularity,kl_threat
work.a-poster.info,29.05.2018 11:24,4,CnC.Win32.Generic
195.62.52.55,10.08.2017 17:22,4,Trojan-Banker.Win32.Trickster
193.161.193.99,06.12.2017 21:58,3,Worm.VBS.Dinihou
119.59.124.163,21.04.2018 03:37,3,Trojan-Dropper.MSOffice.SDrop
144.76.62.10,25.04.2017 00:48,3,Trojan.Win32.Staser
151.80.142.33,17.12.2015 13:56,3,Trojan-Banker.Win32.Emotet
vietskytravel.com.vn,04.09.2013 20:51,3,CnC.Win32.Generic
veetee.ottechnology.com,21.11.2012 21:55,2,Backdoor.Win32.Shiz
136.243.14.152,30.05.2019 17:26,2,Trojan-Downloader.Win32.Goo
lamp.tugraz.at,17.02.2014 16:19,2,CnC.Win32.Generic
portal.baixadaon.com.br,17.04.2014 08:25,2,CnC.Win32.Generic
195.133.48.64,13.11.2018 17:49,2,CnC.Win32.Generic
106.75.66.110,23.08.2018 15:46,2,Trojan.AndroidOS.Triada
ubuyfirst.dynu.net,25.01.2019 07:38,2,Trojan.MSIL.Disfa
sman3singkawang.sch.id,24.01.2014 00:29,2,CnC.Win32.Generic
123.59.128.38,16.07.2018 16:33,2,Trojan-Dropper.AndroidOS.Iop
dbupdates.torrentplay.com,08.02.2012 15:33,2,Backdoor.Win32.Shiz
45.33.37.240,01.06.2018 11:21,2,CnC.Win32.Generic
helbanoivas.com.br,06.08.2014 13:47,2,Trojan-Spy.Win32.Zbot
213.166.71.163,11.06.2019 05:51,2,Trojan-Downloader.Win32.Deyma
pienaarbrothers.co.za,24.02.2015 02:53,2,Trojan-Spy.Win32.Zbot
gssf.com.kw,03.02.2014 19:21,2,CnC.Win32.Generic
93.190.138.98,14.05.2019 08:18,2,Trojan-Downloader.Win32.Goo
free.idcfengye.com,04.10.2018 16:32,2,Backdoor.AndroidOS.Ahmyth
185.4.64.183,18.12.2018 19:47,2,Trojan-PSW.Win32.Coins
mipsoft.com.br,09.12.2013 12:57,2,CnC.Win32.Generic
88.198.35.181,14.05.2019 08:18,2,Trojan-Downloader.Win32.Goo
phcci.com.ph,15.11.2012 09:38,2,CnC.Win32.Generic
naturezaelimpeza.com.br,18.12.2014 06:30,2,Trojan-Spy.Win32.Zbot
expertteamhacker.com.br,04.12.2018 08:45,2,Backdoor.MSIL.Bladabindi
grupolz.com.br,17.02.2014 16:19,2,CnC.Win32.Generic
185.82.217.154,26.02.2019 19:48,2,Backdoor.MSIL.Bladabindi
134.119.188.33,06.06.2019 09:32,2,Trojan-Downloader.Win32.Goo
odontowayequipamentos.com.br,12.08.2013 11:15,2,CnC.Win32.Generic
krlegal.com.au,02.03.2013 06:56,2,Trojan-Spy.Win32.Zbot
celenit-idiomas.com.br,29.08.2013 12:29,2,Trojan-Spy.Win32.Zbot
turevmak.com.tr,28.11.2014 07:16,2,Trojan-Spy.Win32.Zbot
chaimwalder.co.il,23.03.2015 05:47,2,Trojan-Spy.Win32.Zbot
81.183.213.36,10.05.2019 11:06,2,Trojan-Banker.Win32.Emotet
91.201.65.73,14.05.2019 11:57,2,Trojan-Banker.Win32.Trickster
195.123.212.210,05.02.2019 09:29,2,Trojan-Spy.Win32.Ursnif
orangegraphics.altervista.org,08.04.2010 12:56,2,CnC.Win32.Generic
178.132.0.217,05.02.2018 12:41,2,Backdoor.MSIL.Bladabindi
leivas.com.br,09.06.2015 20:15,2,Trojan-Ransom.Win32.Cryptodef
62.112.8.173,27.05.2019 14:26,2,Trojan-Downloader.Win32.Goo
178.132.0.37,14.05.2019 08:18,2,Trojan-Downloader.Win32.Goo
vdovenko.kiev.ua,29.10.2014 05:21,2,Trojan-Spy.Win32.Zbot
portlets.arcticportal.org,30.03.2015 18:29,2,Trojan-Spy.Win32.Zbot
84.200.16.242,28.06.2017 10:07,2,CnC.Win32.Generic
facebooksexdating.web.fc2.com,11.12.2012 08:42,2,CnC.Win32.Generic
24.194.252.25,18.02.2019 14:09,2,Trojan-Banker.Win32.Emotet
89.46.100.217,07.02.2019 17:56,2,Backdoor.AndroidOS.Agent
doorsakademi.com.tr,26.03.2013 13:52,2,Backdoor.Win32.Mutopy
rudy.zzz.com.ua,16.05.2019 16:17,2,Trojan-PSW.Win32.Coins
salvadorautopecas.com.br,27.11.2013 14:54,2,Trojan.Win32.Generic
ssl9294.websiteseguro.com,29.04.2019 15:38,2,CnC.Win32.Generic
islandrecovery.com.sg,08.06.2015 13:51,2,Trojan-Spy.Win32.Zbot
185.116.214.58,15.12.2018 20:18,2,Backdoor.AndroidOS.Agent
185.204.1.236,17.01.2019 19:12,2,Backdoor.MSIL.Bladabindi
151.106.0.203,12.06.2019 21:05,2,Trojan-Downloader.Win32.Goo
thietbikiemdinh.com.vn,27.01.2014 14:31,2,CnC.Win32.Generic
82.202.167.182,12.04.2019 19:11,2,Backdoor.Win32.DarkKomet
178.159.37.113,06.04.2019 08:06,2,Backdoor.Win32.Androm
api.wipmania.com.fowd.ru,13.01.2014 18:35,2,Worm.Win32.Ngrbot
123.56.228.49,19.06.2018 09:27,2,Trojan.Win32.Zonidel
178.216.50.18,21.01.2019 15:59,2,Trojan-PSW.Win32.Coins
144.76.28.170,14.05.2019 08:18,2,Trojan-Downloader.Win32.Goo
185.130.215.49,14.01.2019 11:54,2,Trojan-PSW.Win32.Coins
109.236.91.13,08.04.2019 23:04,2,Trojan-Downloader.Win32.Goo
learninginstitute.co.uk,05.09.2014 13:39,2,Trojan-Spy.Win32.Zbot
cfcontable.com.ar,21.01.2015 18:48,2,Trojan.Win32.Neurevt
guiapubliqueja.com.br,19.05.2015 16:06,2,Trojan-Spy.Win32.Zbot
globoagua.com.br,17.02.2015 02:54,2,Trojan-Spy.Win32.Zbot
reimbergit.com.br,27.10.2013 10:03,2,CnC.Win32.Generic
rossmedical.com.br,12.08.2013 11:15,2,CnC.Win32.Generic
91.236.4.234,25.02.2016 10:55,2,Trojan-Banker.Win32.Emotet
12.162.84.2,09.04.2018 12:54,2,Trojan-Banker.Win32.Emotet
struttura.com.br,29.07.2013 19:05,2,CnC.Win32.Generic
dwv.com.br,09.09.2014 08:26,2,Trojan-Spy.MSIL.Banker
5.9.37.179,14.05.2019 08:18,2,Trojan-Downloader.Win32.Goo
134.119.179.45,12.06.2019 21:05,2,Trojan-Downloader.Win32.Goo
176.9.40.135,14.05.2019 08:18,2,Trojan-Downloader.Win32.Goo
85.10.193.60,21.05.2019 16:53,2,Trojan-Downloader.Win32.Goo
176.9.103.83,14.05.2019 08:18,2,Trojan-Downloader.Win32.Goo
148.251.42.49,14.05.2019 08:44,2,Trojan-Downloader.Win32.Goo
134.119.212.41,06.06.2019 19:02,2,Trojan-Downloader.Win32.Goo
134.119.206.125,06.06.2019 08:42,2,Trojan-Downloader.Win32.Goo
151.106.11.209,12.06.2019 22:20,2,Trojan-Downloader.Win32.Goo
93.190.143.22,14.05.2019 08:18,2,Trojan-Downloader.Win32.Goo
176.9.120.229,14.05.2019 08:18,2,Trojan-Downloader.Win32.Goo
134.119.192.13,06.06.2019 08:32,2,Trojan-Downloader.Win32.Goo
88.198.36.150,14.05.2019 08:18,2,Trojan-Downloader.Win32.Goo
134.119.206.191,06.06.2019 09:32,2,Trojan-Downloader.Win32.Goo
185.2.81.21,14.05.2019 08:44,2,Trojan-Downloader.Win32.Goo
92.42.106.171,04.06.2019 16:44,2,Trojan-Downloader.Win32.Goo
134.119.214.179,06.06.2019 19:43,2,Trojan-Downloader.Win32.Goo
144.76.200.237,14.05.2019 08:18,2,Trojan-Downloader.Win32.Goo
78.46.76.121,14.05.2019 08:18,2,Trojan-Downloader.Win32.Goo
176.9.40.163,14.05.2019 08:18,2,Trojan-Downloader.Win32.Goo
151.106.0.201,12.06.2019 21:05,2,Trojan-Downloader.Win32.Goo
134.119.207.241,04.06.2019 16:44,2,Trojan-Downloader.Win32.Goo
144.76.165.236,14.05.2019 08:18,2,Trojan-Downloader.Win32.Goo
praxisjr.com.br,20.01.2014 20:00,2,CnC.Win32.Generic
31.220.2.200,24.05.2018 12:52,2,Backdoor.Win32.Remcos
134.119.179.225,06.06.2019 09:32,2,Trojan-Downloader.Win32.Goo
5.9.23.76,14.05.2019 08:18,2,Trojan-Downloader.Win32.Goo
realcevidros.com.br,15.11.2014 23:47,2,Trojan-Spy.Win32.Zbot
caritas.org.ro,03.07.2014 03:15,2,Trojan-Spy.Win32.Zbot
134.119.191.123,31.05.2019 12:13,2,Trojan-Downloader.Win32.Goo
spimports.com.br,22.01.2019 06:38,2,Trojan-Spy.Win32.SpyEyes
blcartuchos.com.br,10.06.2015 19:37,2,Trojan-Spy.Win32.Zbot
185.136.158.83,12.06.2019 20:38,2,Trojan-Downloader.Win32.Goo
dogaltas.gen.tr,26.06.2014 11:22,2,Trojan-Spy.Win32.Zbot
businessconnection.com.br,10.06.2015 00:04,2,Trojan-Spy.Win32.Zbot
casasxavier.com.br,07.05.2013 13:54,2,Trojan-Spy.Win32.Zbot
focus.tula.su,02.04.2018 19:00,2,CnC.Win32.Generic
51.38.146.97,01.04.2019 20:12,2,Trojan-Banker.Win32.Trickster
ikc.com.br,26.03.2013 13:52,2,Backdoor.Win32.Mutopy
51.15.231.96,29.11.2018 23:57,2,Trojan-Spy.Win32.Stealer
51.15.242.208,14.11.2018 20:36,2,Trojan-PSW.Win32.Azorult
51.15.215.51,25.10.2018 17:42,2,Trojan-PSW.Win32.Azorult
51.15.142.235,06.12.2018 13:02,2,Trojan-Spy.Win32.Stealer
clickrate.com.au,03.07.2013 08:26,2,CnC.Win32.Generic
wbassessoriaeconsultoria.com.br,22.11.2013 10:26,2,CnC.Win32.Generic
hicham9risa.duckdns.org,11.07.2018 10:09,2,Trojan-Dropper.VBS.SDrop
mitratani27.co.id,15.05.2019 03:42,2,Trojan-PSW.Win32.Coins
195.123.210.61,03.06.2018 15:09,2,Backdoor.MSIL.Bladabindi
multi.dcgamenetwork.com,12.11.2011 21:56,2,Backdoor.Win32.Shiz
112.126.94.107,19.06.2018 09:27,2,Backdoor.Win32.IRCBot
lolokamal.zapto.org,20.06.2017 05:26,2,Backdoor.MSIL.Bladabindi
lovetime.ru.com,01.08.2018 14:26,2,CnC.Win32.Generic
crsky.womendouyiyang.com,23.02.2018 12:33,2,Trojan.Win32.Agent
dpi-print.com.sg,18.02.2014 18:56,2,CnC.Win32.Generic
poketrytadek.cn.com,24.11.2017 05:08,2,Trojan-Spy.Win32.Zbot
hamperincentives.co.uk,26.11.2013 11:17,2,CnC.Win32.Generic
88.214.207.83,23.02.2019 10:14,2,Trojan-Ransom.Win32.Blocker
pastagogo.com.au,05.04.2019 18:16,2,Trojan-PSW.Win32.Coins
87.120.37.235,26.03.2019 00:28,2,Backdoor.Win32.IRCBot
136.243.64.23,27.05.2019 15:47,2,Trojan-Downloader.Win32.Goo
a.deltaheavy.ru,18.03.2019 09:59,2,Backdoor.Win32.Androm
au.co.th,29.07.2014 11:21,2,Trojan-Spy.Win32.Zbot
racecarengineering.com.au,31.01.2014 20:09,2,CnC.Win32.Generic
cellinis.net.au,20.03.2015 03:39,2,Backdoor.Win32.Napolar
pivetamaqfer.com.br,23.11.2014 00:13,2,Trojan-Spy.Win32.Zbot
sociopuan.com.ar,29.01.2014 18:09,2,CnC.Win32.Generic
enablelink.co.uk,20.11.2013 12:37,2,CnC.Win32.Generic
nanoprotech.com.ua,17.03.2014 04:23,2,Trojan-Spy.Win32.Zbot
massagemtantricajardins.com.br,19.09.2013 22:17,2,CnC.Win32.Generic
phpads.outrageouscreations.biz,01.09.2014 19:18,2,Worm.Win32.Ngrbot
menumaterno.com.br,17.02.2014 16:19,2,CnC.Win32.Generic
hcserver.com.br,18.07.2013 07:43,2,Trojan-Spy.Win32.Zbot
markebrae.com.br,19.03.2015 09:59,2,Trojan-Spy.Win32.Zbot
158.69.128.106,05.06.2018 04:48,2,Trojan.Win32.Kovter
158.69.128.107,05.06.2018 04:48,2,Trojan.Win32.Kovter
158.69.128.104,30.05.2018 17:15,2,Trojan.Win32.Kovter
158.69.128.105,30.05.2018 17:15,2,Trojan.Win32.Kovter
107.181.187.132,13.03.2018 07:54,2,Trojan.Win32.Scar
businessnames49.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames47.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames48.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames46.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames45.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames44.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames42.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames43.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames39.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
businessnames34.4irc.com,10.08.2017 12:15,2,Backdoor.Win32.Mokes
