kl_ip,kl_threat_score,kl_category,kl_first_seen,kl_popularity
5.196.70.233,100,botnet_cncand malware,09.03.2019 12:02,3
5.79.119.191,100,botnet_cnc,11.02.2020 18:06,3
3.17.117.250,100,botnet_cncand tor_node,09.03.2020 10:41,2
3.13.191.225,100,botnet_cnc,08.03.2020 03:12,2
5.182.210.55,100,botnet_cnc,06.11.2019 19:24,2
3.134.196.116,100,botnet_cnc,10.03.2020 03:11,2
3.137.63.131,100,botnet_cnc,07.03.2020 20:36,2
3.20.98.123,100,botnet_cnc,08.03.2020 21:42,2
3.135.90.78,100,botnet_cnc,13.03.2020 01:48,2
5.45.117.75,100,botnet_cnc,07.10.2019 20:53,2
3.17.202.129,100,botnet_cnc,25.07.2019 13:41,2
5.182.210.189,100,botnet_cnc,19.11.2019 16:55,2
12.162.84.2,100,botnet_cncand malware,09.04.2018 12:54,2
3.19.3.150,100,botnet_cnc,25.07.2019 13:41,2
5.63.14.41,100,botnet_cnc,27.11.2017 11:08,2
5.53.124.49,100,botnet_cnc,16.08.2019 16:54,2
5.45.75.142,100,botnet_cnc,14.05.2019 20:14,2
8.209.79.239,100,malware,27.02.2020 11:44,2
8.208.78.248,100,malware,25.02.2020 10:51,2
8.208.13.6,100,malware,05.03.2020 12:07,2
5.8.88.97,100,botnet_cnc,11.02.2019 14:18,2
8.208.14.206,100,malware,27.02.2020 11:44,2
8.208.22.204,100,malware,27.02.2020 11:44,2
8.208.23.186,100,malware,27.02.2020 11:44,2
5.45.179.183,100,botnet_cnc,25.02.2020 11:06,2
5.34.158.102,100,botnet_cnc,28.01.2020 21:53,2
8.209.65.45,100,malware,14.01.2020 10:14,2
8.209.74.136,100,malware,20.12.2019 17:37,2
3.14.212.173,100,botnet_cnc,25.06.2019 13:13,2
1.9.150.202,100,botnet_cnc,18.03.2020 17:12,1
1.35.178.173,100,botnet_cnc,04.06.2019 12:23,1
1.0.5.4,100,botnet_cnc,24.07.2019 07:53,1
5.228.92.184,80,proxy,01.04.2020 00:00,3
14.98.195.90,80,proxy,12.08.2019 09:50,2
1.186.40.2,80,proxy,26.09.2018 03:00,2
5.79.109.48,80,tor_exit_node,18.02.2020 18:10,2
5.101.51.170,80,malware,06.04.2020 11:58,2
1.0.178.242,80,proxy,08.04.2020 20:50,2
14.29.247.69,80,proxy,08.11.2019 17:40,2
1.71.130.57,80,proxy,12.04.2020 03:50,2
13.56.86.59,80,malware,01.04.2020 19:05,2
