kl_ip,kl_threat_score,kl_category,kl_first_seen,kl_popularity
23.254.225.240,100,botnet_cnc,06.06.2019 14:47,4
5.196.70.233,100,malwareand botnet_cnc,09.03.2019 12:02,3
23.106.160.1,100,botnet_cnc,06.01.2020 12:18,3
5.79.119.191,100,botnet_cnc,11.02.2020 18:06,3
23.254.224.218,100,botnet_cnc,21.11.2019 00:17,3
5.188.60.37,100,botnet_cnc,11.08.2019 11:49,3
8.209.69.244,100,malware,11.12.2019 16:08,3
8.208.78.248,100,malware,24.02.2020 18:21,2
5.182.210.55,100,botnet_cncand malware,06.11.2019 19:24,2
5.45.117.75,100,botnet_cnc,07.10.2019 20:53,2
18.223.41.243,100,botnet_cnc,09.10.2019 07:11,2
3.19.3.150,100,botnet_cnc,25.07.2019 13:41,2
3.17.202.129,100,botnet_cnc,25.07.2019 13:41,2
18.188.14.65,100,botnet_cnc,02.07.2019 22:18,2
8.209.79.239,100,malware,17.02.2020 15:27,2
23.106.125.110,100,botnet_cnc,18.02.2020 08:12,2
5.45.75.142,100,botnet_cnc,14.05.2019 20:14,2
5.8.88.97,100,botnet_cnc,11.02.2019 14:18,2
8.208.14.206,100,malware,07.02.2020 16:49,2
12.162.84.2,100,botnet_cncand malware,09.04.2018 12:54,2
14.160.93.230,100,botnet_cncand malware,15.10.2019 10:49,2
5.53.124.235,100,malware,28.10.2019 17:39,2
5.34.158.102,100,botnet_cncand malware,28.01.2020 21:53,2
2.47.112.72,100,botnet_cncand malware,10.01.2020 12:41,2
5.101.51.112,100,botnet_cnc,03.09.2019 10:47,2
8.208.22.204,100,malware,27.02.2020 11:44,2
8.208.23.186,100,malware,27.02.2020 11:44,2
2.38.99.79,100,botnet_cncand malware,28.11.2019 09:47,2
5.45.179.183,100,botnet_cnc,25.02.2020 11:06,2
5.63.14.41,100,botnet_cnc,27.11.2017 11:08,2
8.209.65.45,100,malware,14.01.2020 10:14,2
23.106.124.148,100,botnet_cnc,09.01.2020 11:17,2
5.53.124.49,100,botnet_cnc,16.08.2019 16:54,2
8.209.74.136,100,malware,20.12.2019 17:37,2
3.14.212.173,100,botnet_cnc,25.06.2019 13:13,2
23.106.124.196,100,botnet_cnc,21.01.2020 08:52,2
2.95.83.243,100,botnet_cnc,06.12.2019 01:29,2
